timestamp,weekday,count
2026-06-13 07:24:41,5,21
2026-06-13 08:31:55,5,35
2026-06-13 11:31:09,5,19
2026-06-13 13:11:55,5,17
2026-06-13 15:20:39,5,0
2026-06-13 17:01:46,5,0
2026-06-13 18:22:07,5,0
2026-06-13 20:06:19,5,0
2026-06-13 21:37:33,5,0
2026-06-13 23:19:59,5,8
2026-06-14 01:58:35,6,17
2026-06-14 06:55:13,6,27
2026-06-14 10:31:07,6,21
2026-06-14 12:27:57,6,16
2026-06-14 14:58:02,6,0
2026-06-14 16:45:18,6,0
2026-06-14 18:22:20,6,0
2026-06-14 20:09:27,6,0
2026-06-14 21:54:58,6,0
2026-06-15 02:04:35,0,7
2026-06-15 07:36:21,0,18
2026-06-15 13:39:35,0,30
2026-06-15 18:45:37,0,0
2026-06-15 21:48:28,0,0
2026-06-15 23:59:55,0,11
2026-06-16 05:27:55,1,20
2026-06-16 15:32:39,1,0
2026-06-16 19:06:49,1,0
2026-06-16 21:48:57,1,0
2026-06-16 23:46:02,1,6
2026-06-17 05:09:57,2,22
2026-06-17 10:17:59,2,23
2026-06-17 14:18:13,2,10
2026-06-17 17:36:08,2,0
2026-06-17 19:50:11,2,0
2026-06-17 22:09:41,2,0
2026-06-18 00:02:14,3,26
2026-06-18 04:59:01,3,15
2026-06-18 09:43:17,3,11
2026-06-18 13:39:38,3,11
2026-06-18 17:25:09,3,0
2026-06-18 19:53:17,3,0
2026-06-18 22:23:53,3,0
2026-06-19 00:13:38,4,40
2026-06-19 05:37:26,4,13
2026-06-19 10:55:26,4,17
2026-06-19 14:19:41,4,7
2026-06-19 17:02:08,4,0
2026-06-19 19:08:15,4,0
2026-06-19 20:54:02,4,0
2026-06-19 22:12:29,4,0
2026-06-19 23:44:44,4,14
2026-06-20 04:38:08,5,19
2026-06-20 08:28:09,5,26
2026-06-20 11:01:29,5,20
2026-06-20 12:58:21,5,19
2026-06-20 15:09:54,5,0
2026-06-20 17:07:19,5,0
2026-06-20 18:58:29,5,0
2026-06-20 20:39:14,5,0
2026-06-20 22:20:18,5,0
2026-06-20 23:47:45,5,8
2026-06-21 05:16:19,6,23
2026-06-21 09:28:27,6,31
2026-06-21 12:00:33,6,19
2026-06-21 14:30:38,6,0
2026-06-21 16:19:03,6,0
2026-06-21 18:08:56,6,0
2026-06-21 20:15:25,6,0
2026-06-21 21:59:26,6,0
2026-06-21 23:41:45,6,14
2026-06-22 05:26:59,0,18
2026-06-22 11:19:00,0,35
2026-06-22 16:15:58,0,0
2026-06-22 19:56:46,0,0
2026-06-22 22:15:10,0,0
2026-06-22 23:53:10,0,11
2026-06-23 04:17:50,1,15
2026-06-23 08:08:13,1,18
2026-06-23 11:42:23,1,35
2026-06-23 15:22:05,1,0
2026-06-23 19:30:52,1,0
2026-06-23 21:19:00,1,0
2026-06-23 22:50:49,1,0
2026-06-24 00:08:23,2,42
2026-06-24 04:49:53,2,17
2026-06-24 08:31:57,2,25
2026-06-24 11:26:24,2,32
2026-06-24 13:51:27,2,15
2026-06-24 16:31:08,2,0
2026-06-24 18:21:16,2,0
2026-06-24 20:22:34,2,0
2026-06-24 21:59:14,2,0
2026-06-24 23:19:44,2,9
2026-06-25 01:35:30,3,46
2026-06-25 05:50:51,3,17
2026-06-25 09:41:07,3,20
2026-06-25 12:32:30,3,21
2026-06-25 15:32:07,3,0
2026-06-25 17:33:38,3,0
2026-06-25 19:29:37,3,0
2026-06-25 21:16:45,3,0
2026-06-25 23:01:42,3,1
2026-06-26 00:21:33,4,16
2026-06-26 04:54:20,4,14
2026-06-26 08:34:57,4,33
2026-06-26 11:30:28,4,22
2026-06-26 13:35:06,4,35
2026-06-26 15:59:31,4,0
2026-06-26 18:02:05,4,0
2026-06-26 20:05:56,4,0
2026-06-26 21:39:53,4,0
2026-06-26 23:21:03,4,8
2026-06-27 01:31:46,5,37
2026-06-27 05:36:31,5,26
2026-06-27 08:16:43,5,25
2026-06-27 10:34:44,5,25
2026-06-27 12:01:13,5,27
2026-06-27 14:04:19,5,7
2026-06-27 15:37:23,5,0
2026-06-27 17:20:36,5,0
2026-06-27 18:48:30,5,0
2026-06-27 20:17:48,5,0
2026-06-27 21:42:09,5,0
2026-06-28 01:37:48,6,50
2026-06-28 06:36:07,6,18
2026-06-28 09:47:13,6,36
2026-06-28 11:57:30,6,28
